city,timestamp,temperature,season
New York,2010-01-01,12.044248883172157,winter
New York,2010-01-02,1.5833382441429973,winter
New York,2010-01-03,-4.141705323213657,winter
New York,2010-01-04,3.5228601400874027,winter
New York,2010-01-05,0.24631367909764848,winter
New York,2010-01-06,1.395237595450232,winter
New York,2010-01-07,-6.564268006351119,winter
New York,2010-01-08,-0.7479962184660756,winter
New York,2010-01-09,-18.61061100178045,winter
New York,2010-01-10,3.7367185940369962,winter
New York,2010-01-11,1.7885764094347822,winter
New York,2010-01-12,-3.6365717950254837,winter
New York,2010-01-13,2.217749297423979,winter
New York,2010-01-14,-3.83800743446494,winter
New York,2010-01-15,-2.2590357171890214,winter
New York,2010-01-16,-5.172826054318927,winter
New York,2010-01-17,4.941702163287931,winter
New York,2010-01-18,-12.02811644774595,winter
New York,2010-01-19,-1.7310251235538456,winter
New York,2010-01-20,-2.8192688088715405,winter
New York,2010-01-21,-4.493996220616397,winter
New York,2010-01-22,4.004742760060706,winter
New York,2010-01-23,-7.580691990538093,winter
New York,2010-01-24,-0.96337945036846,winter
New York,2010-01-25,4.055496415540606,winter
New York,2010-01-26,-4.594701810824377,winter
New York,2010-01-27,-2.834255773447223,winter
New York,2010-01-28,3.3307322200781457,winter
New York,2010-01-29,-6.154369232012962,winter
New York,2010-01-30,-2.841519008141582,winter
New York,2010-01-31,7.1313406930421905,winter
New York,2010-02-01,2.5310102089365705,winter
New York,2010-02-02,3.301842682767433,winter
New York,2010-02-03,-3.531556516375609,winter
New York,2010-02-04,6.73986227533088,winter
New York,2010-02-05,-12.486613564385639,winter
New York,2010-02-06,2.0496497676860796,winter
New York,2010-02-07,-7.172482496207106,winter
New York,2010-02-08,-3.148628651670573,winter
New York,2010-02-09,-2.1067722329163816,winter
New York,2010-02-10,3.149821519301212,winter
New York,2010-02-11,4.909237589744246,winter
New York,2010-02-12,-1.1610093238135457,winter
New York,2010-02-13,-1.2453897568883359,winter
New York,2010-02-14,2.1897195111264387,winter
New York,2010-02-15,12.439670291369154,winter
New York,2010-02-16,-0.9164307794231364,winter
New York,2010-02-17,-9.875069178890465,winter
New York,2010-02-18,3.3008252278179113,winter
New York,2010-02-19,-1.7941788072837495,winter
New York,2010-02-20,1.841401628095419,winter
New York,2010-02-21,-1.0652886210876993,winter
New York,2010-02-22,-10.350097753813067,winter
New York,2010-02-23,-1.6581572711815973,winter
New York,2010-02-24,5.912111061191398,winter
New York,2010-02-25,5.873812111258431,winter
New York,2010-02-26,-2.160147955421621,winter
New York,2010-02-27,1.2515027885076293,winter
New York,2010-02-28,3.331174970799702,winter
New York,2010-03-01,1.8446670954802098,spring
New York,2010-03-02,11.599446484477504,spring
New York,2010-03-03,2.5796001862243205,spring
New York,2010-03-04,8.493231410730706,spring
New York,2010-03-05,9.59799656345326,spring
New York,2010-03-06,16.10950552663629,spring
New York,2010-03-07,10.18237934319634,spring
